"ireland_4.t2q18a1","ireland_4.t2q18a2","ireland_4.t2q18a3","ireland_4.t2q18a4","ireland_4.t2q18a5","ireland_4.t2q18anu","ireland_4.t3q18b1","ireland_4.t3q18b2","ireland_4.t3q18b3","ireland_4.t3q18b4","ireland_4.t3q18b5","ireland_4.t3q18bnu","ireland_4.t2q18b1","ireland_4.t2q18b2","ireland_4.t2q18b3","ireland_4.t2q18b4","ireland_4.t2q18b5","ireland_4.t2q18bnu","ireland_4.t3q18b1.1","ireland_4.t3q18b2.1","ireland_4.t3q18b3.1","ireland_4.t3q18b4.1","ireland_4.t3q18b5.1","ireland_4.t3q18bnu.1","ireland_4.t2q19a1","ireland_4.t2q19a2","ireland_4.t2q19a3","ireland_4.t2q19a4","ireland_4.t2q19a5","ireland_4.t2q19anu","ireland_4.t3q19a1","ireland_4.t3q19a2","ireland_4.t3q19a3","ireland_4.t3q19a4","ireland_4.t3q19a5","ireland_4.t3q19anu","ireland_4.t2q19b1","ireland_4.t2q19b2","ireland_4.t2q19b3","ireland_4.t2q19b4","ireland_4.t2q19b5","ireland_4.t2q19bnu","ireland_4.t3q19b1","ireland_4.t3q19b2","ireland_4.t3q19b3","ireland_4.t3q19b4","ireland_4.t3q19b5","ireland_4.t3q19bnu","ireland_4.t2q20a1","ireland_4.t2q20a2","ireland_4.t2q20a3","ireland_4.t2q20a4","ireland_4.t2q20a5","ireland_4.t2q20anu","ireland_4.t3q20a1","ireland_4.t3q20a2","ireland_4.t3q20a3","ireland_4.t3q20a4","ireland_4.t3q20a5","ireland_4.t3q20anu","ireland_4.t2q20b1","ireland_4.t2q20b2","ireland_4.t2q20b3","ireland_4.t2q20b4","ireland_4.t2q20b5","ireland_4.t2q20bnu","ireland_4.t3q20b1","ireland_4.t3q20b2","ireland_4.t3q20b3","ireland_4.t3q20b4","ireland_4.t3q20b5","ireland_4.t3q20bnu","ireland_4.t2q21a1","ireland_4.t2q21a2","ireland_4.t2q21a3","ireland_4.t2q21a4","ireland_4.t2q21a5","ireland_4.t2q21anu","ireland_4.t3q21a1","ireland_4.t3q21a2","ireland_4.t3q21a3","ireland_4.t3q21a4","ireland_4.t3q21a5","ireland_4.t3q21anu","ireland_4.t2q21b1","ireland_4.t2q21b2","ireland_4.t2q21b3","ireland_4.t2q21b4","ireland_4.t2q21b5","ireland_4.t2q21bnu","ireland_4.t3q21b1","ireland_4.t3q21b2","ireland_4.t3q21b3","ireland_4.t3q21b4","ireland_4.t3q21b5","ireland_4.t3q21bnu"
"25","NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"Perhaps people of a closed mind","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"It may learn people to live together better","NA","NA","NA","NA",1,"Get on better","Understand eachothers cultures","NA","NA","NA",2,"No other point in having a partnership","NA","NA","NA","NA",1,"Opportunity to mix with the other religion","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"Bigots in society","NA","NA","NA","NA",1
"26","NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"Religious beliefs","What they are used to/comfortable with","NA","NA","NA",2,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"Teach mutual respect/understanding","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",NA,"Fear of indoctrination","Uncomfortable","NA","NA","NA",2,"NA","NA","NA","NA","NA",NA,"Maybe more stability for child","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",NA,"Children are ready to more and embrace wider curriculum","Massive phsycal difference between yr1-yr14","NA","NA","NA",2,"NA","NA","NA","NA","NA",NA
"27","Making every child feel that they can do well","Saves the money","Could offer more subjects","NA","NA",3,"Feel they want it separated that more academic children should be shown","NA","NA","NA","NA",1,"People believe that accademic should be separate","NA","NA","NA","NA",1,"Feel they want it separated that more academic children should be shown","NA","NA","NA","NA",1,"Some people know no different - don't like change","Would prefer this incase there would be bullying/fighting etc","People believe their religion is the right religion and others are wrong","NA","NA",3,"people who feel that their children should not mix and be brought up in their own religion","Locality, nearest school","NA","NA","NA",2,"Teach kids to learn about other cultures, religions etc","Save money on running separate schools","There would be less hatred in our country","NA","NA",3,"Believe it is the way forward","Young people learn to live in harmony","Learning eachothers cultures","Help heal the damage in N.Ireland","NA",4,"They would learn from eachother","If they didn't share what would be the point in having a partnership","Important for the children","NA","NA",3,"If they aren't it's still segregation, they need to be together otherwise it defeats the purpose","NA","NA","NA","NA",1,"Parents who don't want their kids to mix with other religions","Maybe how RE is taught in school","NA","NA","NA",2,"NA","NA","NA","NA","NA",0,"They think at 14 kids are more ready to choose subjects","NA","NA","NA","NA",1,"It is too young to make a decision and let the child mature","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Not sure, don't know","Don't want change if it's not broke don't fix it","NA","NA","NA",2
"28","Would cater for academic level","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"Culture & teaching down the years","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Bring the community together","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Bringing them together","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Want to stick strongly to their own views","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Might work better in rural areas reguarding transport","Keep rural schools open","NA","NA","NA",2,"NA","NA","NA","NA","NA",0,"too big an age difference, bullying?","Would schools be geared to cater for such numbers? Size.","Would they be able to provide subjects to cover all age levels","NA","NA",3
"29","Mirrors an all ability all inclusive society","Promotes mutual understanding and respect","Removes labels of grammar vs secondary","Recognises that learning is not just academic achievement but vocational as well","NA",4,"Difficult to provide specialist training","NA","NA","NA","NA",1,"Unable to deliver specialist needs to those at the top end","No one liely to promote an environment of acedemic excellence without streaming","If do stream then back to labelling by another route","Failed comprehensive system in England along model of 'all ability' now seems to be accepted that close of grammars has been detrimental","NA",4,"Difficult to provide specialist training","NA","NA","NA","NA",1,"Tradition","Better learning environment","Maintaining that traditions religion within the school","NA","NA",3,"Maintain beliefs and traditions through schools","NA","NA","NA","NA",1,"Mirrors the workplace and life","Promotes understanding of other communities first hand as opposed to hearsay and urban myth","A current part in history is the best place to tryu and dispel myths and prejudice for forthcoming generations","It should never be an issue. The isue is the bestr education for your child in an environment that will leave them ready for life","Religion should stay out of schools",5,"Mutual understanding for all kids","NA","NA","NA","NA",1,"To force mixing that might otherwise never occur and only by putting people in the same environment will dialogue start","If left separate will follow tradition and remain separate due to peer pressures and performed groups","NA","NA","NA",2,"NA","NA","NA","NA","NA",0,"Need to only mix with own groups to retain 'identity'","Probably leave same issues as those expressed in Q19 part A","NA","NA","NA",2,"NA","NA","NA","NA","NA",0,"Removal of selection/decisions having to be made at 11","May see it as more natual break pt in childs development","NA","NA","NA",2,"Level of maturity of child moving on","A more mutual decision making age for kids","NA","NA","NA",2,"Seven years is too young to change schools","Current educational thinking and teaching has served well with break pt at 11","14 is equally arbitary as all children develop at different rates and in many ways mid-puberty. This may be an even more difficult time for clear thinking and choices to be made","NA","NA",3,"Tradition, this system does work","NA","NA","NA","NA",1
"30","NA","NA","NA","NA","NA",0,"Too many subjects","Too confusing for the pupils and parents","NA","NA","NA",2,"NA","NA","NA","NA","NA",0,"Too many subjects","Too confusing for the pupils and parents","NA","NA","NA",2,"No diluting of beliefs","Mixing with own crowd","Less chance of bullying from other religion","NA","NA",3,"Not wishing children to mix with children of different religions","Narrow mindedness","NA","NA","NA",2,"Mix with other religion","Better social skills","More away from secretarian","NA","NA",3,"Improve relationships between children of all religions and cultures","NA","NA","NA","NA",1,"Integration","Meeting other religions","Make friends","NA","NA",3,"Improve relations between pupils and schools and let children mix with other children of a different religion","NA","NA","NA","NA",1,"Bullying others","Intimidation","Disrupion in class","NA","NA",3,"Not wanting children to mix outside their own religion","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Children of similar age groups can be educated together successfully","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Age difference could be a problem","Bigger schools with more pupils in each class","NA","NA","NA",2
"31","A wider choice of subjects for pupils","NA","NA","NA","NA",1,"Every child is different","NA","NA","NA","NA",1,"If schools need to share same building, can a timetable be worked out to suit each school","NA","NA","NA","NA",1,"Every child is different","NA","NA","NA","NA",1,"They want to hold on to tradition","NA","NA","NA","NA",1,"Some people have it in their mind as tradition","NA","NA","NA","NA",1,"Help with integration","NA","NA","NA","NA",1,"Brings about mutual understanding and respect","NA","NA","NA","NA",1,"Help to close the gap of separation","NA","NA","NA","NA",1,"Learn from children of different religions","NA","NA","NA","NA",1,"Want to keep schools separated","NA","NA","NA","NA",1,"Catholics would not loose power over their own schools","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Save money","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Older children should mix with their own age groups","NA","NA","NA","NA",1
"32","NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"Because of the problems with religion in NI","NA","NA","NA","NA",1,"Can't remember","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Children would learn to get on better","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Most were for this","A beginning to mixing","NA","NA","NA",2,"NA","NA","NA","NA","NA",0,"No disagreement","Everyone seems to be for this","NA","NA","NA",2,"NA","NA","NA","NA","NA",0,"No one for this","NA","NA","NA","NA",1,"Teachers may spend more time and effort teaching children better when classes arent so big","NA","NA","NA","NA",1,"Small children with older children bad idea. Bullying etc.","NA","NA","NA","NA",1
"33","NA","NA","NA","NA","NA",0,"No opposition in our group","NA","NA","NA","NA",1,"Unworkable","NA","NA","NA","NA",1,"No opposition in our group","NA","NA","NA","NA",1,"Religious bias","Ignorance","Fear of change","Mistrust","Community pressure",5,"Everyone in our group wanted mixed schools","NA","NA","NA","NA",1,"Open minded","Desire for change","Change the present","Forget the past","Wish for balanced children",5,"We felt that children would grow up to respect the other community better","NA","NA","NA","NA",1,"Balance/hope","Interaction","NA","NA","NA",2,"Again would help with understanding and respect","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"No disagreement","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Bullying could be a problem, no one supported","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"11-14 better idea","Older children teaching younger children badess","Bullying","NA","NA",3
"34","NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"Religion","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Majority of people would get on if they were integrated","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"It's good for them to join so they can learn to live with each other","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Older generation would oppose it but younger ones wouldn't","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"Not a clue","NA","NA","NA","NA",1
"35","All students treated equally","All students feel equal","All students have the same choice","Religion becomes less of a factor","NA",4,"NA","NA","NA","NA","NA",NA,"Their child had academic qualities","Religion","Vocational","NA","NA",3,"NA","NA","NA","NA","NA",NA,"Religion would be diluted","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",NA,"To encourage integration","To move forward","So students are all treated equally","Education is not based on religion","NA",4,"NA","NA","NA","NA","NA",NA,"All students treated equally","Religion becomes less of a focus","Improves integration","Students socialise better","Students have wider choices",5,"NA","NA","NA","NA","NA",NA,"Religion would be diluted/less focused","Genders mix possibly","NA","NA","NA",2,"NA","NA","NA","NA","NA",NA,"Students may feel they are primary unti age 14","Doesn't prepare students for change","NA","NA","NA",2,"NA","NA","NA","NA","NA",NA,"Students have exhausted their capabilities in primary school by age 11","Students are ready for change","Students are ready for more challenge","Students require wider curriculum","NA",4,"NA","NA","NA","NA","NA",NA
"36","NA","NA","NA","NA","NA",0,"No reason","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"No reason","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Depends on how people are brought up","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Better future together","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"They would get on better in the community","Hopefully a better place for people to live and get on","NA","NA","NA",2,"Should always be taught together","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0
"37","NA","NA","NA","NA","NA",0,"Can’t have education to suit all abilities","Children have learning disabilities","Children might be brighter and need better schools","Bullying may be a problem","NA",4,"NA","NA","NA","NA","NA",0,"Can’t have education to suit all abilities","Children have learning disabilities","Children might be brighter and need better schools","Bullying may be a problem","NA",4,"They won't be bullied (religious)","they will get a better education","NA","NA","NA",2,"Too narrow minded","Don't want mixing","Bigots want only their religion to grow","NA","NA",3,"More social interaction","Better respect for other religions and cultures","Less narrowminded","NA","NA",3,"Learning people to live & work together","Mutual understanding of each religion","NA","NA","NA",2,"NA","NA","NA","NA","NA",0,"Resources can be shared","Save mney","Better quality teaching","NA","NA",3,"NA","NA","NA","NA","NA",0,"People who are bigots don't want mixing","NA","NA","NA","NA",1,"Kids are not made to feel stupid (academic selection)","Pressure is taken off them having to perform","Stay kids longer","NA","NA",3,"Does away with 11+","Too young to choose subjects at 11","Give children more time to grow and decide what they want to do in the future","NA","NA",3,"NA","NA","NA","NA","NA",0,"Bullying. Bigger ones too old","Not sure","NA","NA","NA",2
"38","Better for children","Respect for one another","No bigotry","More pleasing at lessons","Better prospects for all children",5,"Always ones who want to push their children further","NA","NA","NA","NA",1,"Old ways were best","No respect for anyonefrom other religion","Don't want influenced by other people","Don't accept change would do any good","Keep things as they are",5,"Always ones who want to push their children further","NA","NA","NA","NA",1,"Not prepared to have children influenced by another religion","All religious educationmust be of the same father of mother","Discipline","Not to be led astray","Their religion is precious",5,"NA","NA","NA","NA","NA",0,"Every child is equal","Better schooling","More access to facilities","Respect","Better understanding",5,"Keeping traditions","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"It would help relations","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0
"39","NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"tadditional values maintained","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",NA,"Integration is vital for the community","Greater tolerance of other beliefs","More scope for better curriculum choices","NA","NA",3,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA
"40","Every child would have a wide variety of subjects to pick","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"Like to stay the same","NA","NA","NA","NA",1,"Own personal reasons. Keeping them in their own religion","NA","NA","NA","NA",1,"Get to know children from different religion","Know there is no difference","NA","NA","NA",2,"To get them to know eachother","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"To do with religion","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"What about exams?","NA","NA","NA","NA",1
"41","Mix religions","Help rural communities","Everyone is equal","NA","NA",3,"NA","NA","NA","NA","NA",0,"Don't want mixed schools","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"How they are brought up in the home","Don't want their children to be influenced by children of a different religion","NA","NA","NA",2,"NA","NA","NA","NA","NA",0,"It would lead children to respect eachother","It gives them a broader outlook","NA","NA","NA",2,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"To respect eachother reguardless of age","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0
"42","They like/feel comfortable with the status quo","They don't have to change/mix","NA","NA","NA",2,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"Believe that their religion will be eroded/diluted by being mixed","Don't like the idea of mixing","To help pupils mix","NA","NA",3,"They don't want them to mix because of the past","NA","NA","NA","NA",1,"To help students understand other students beliefs","NA","NA","NA","NA",1,"Break down bariers","Learn to appreciate other people values","NA","NA","NA",2,"To give an understanding of toher students beliefs","Open up understanding of different backgrounds","NA","NA","NA",2,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"11 is too young to move school","14 is a better age to move","NA","NA","NA",2,"NA","NA","NA","NA","NA",0,"If it's not broken don't fix it","Tradition","NA","NA","NA",2
"43","Parents have more choice","Pupils have more choice","NA","NA","NA",2,"The brighter children would be bored","At the expense of brighter children","NA","NA","NA",2,"Too large a range of abilities to deal with","NA","NA","NA","NA",1,"The brighter children would be bored","At the expense of brighter children","NA","NA","NA",2,"Uphold tradition","Uphold religious beliefs","NA","NA","NA",2,"Fear of the unknown","NA","NA","NA","NA",1,"Help reduce conflict between religious communities","Broaden pupil's horizons","Increase understanding","Help the community as a whole","NA",4,"A broader more open view of society","NA","NA","NA","NA",1,"Broaden horizons","Help children to mix","Encourage friendships","Help the community as a whole","NA",4,"Working together","Get to know eachother better","NA","NA","NA",2,"Loose out on religious values","Dilute religious communities","NA","NA","NA",2,"Fear of moving from the territory they know","NA","NA","NA","NA",1,"Save children adapting at a young age","NA","NA","NA","NA",1,"Continuation","No change for the child","No disruption","NA","NA",3,"Encourages independence at an early age","NA","NA","NA","NA",1,"Feel that it is good to move and branch out with life experience","NA","NA","NA","NA",1
"44","It would be more convenient","It would mean that all pupils are at the same building","Not having to go to different schools","NA","NA",3,"NA","NA","NA","NA","NA",NA,"The pupils who aren't as talented at a subject would loose out","The pupils who are better skilled in a subject won't be able to flourish at it","NA","NA","NA",2,"NA","NA","NA","NA","NA",NA,"People think that pupils religions believes are stronger in a same religion school","People os the same religion feel more comfortable this way","People are afraif of change","Culture would be lost","NA",4,"NA","NA","NA","NA","NA",NA,"Both sides will become more tolerent of eachother","Society as a whole would become less bigoted","It is the way forward","Pupils will become more educated on different sides of the coin","NA",4,"NA","NA","NA","NA","NA",NA,"It would become a better education system","It makes pupils more aware of the types of roles we play in the community","Instead of putting wasted money into dividing communities, this would aid NI as a whole","NA","NA",3,"NA","NA","NA","NA","NA",NA,"They might not want their own children to be taught the same way as the different religions","They might not want their children mixing with other religions due to their beliefs","NA","NA","NA",2,"NA","NA","NA","NA","NA",NA,"It would meant that children arent moved at an early age","Pupils would become slowly introduced to higer education","It would mean that there would be less moving about","NA","NA",3,"NA","NA","NA","NA","NA",NA,"It would be too soon to have younger children (7 years) to be part of a more adolescent environment","It would make children more bored and stuck in a rut","NA","NA","NA",2,"NA","NA","NA","NA","NA",NA
"45","NA","NA","NA","NA","NA",0,"Brighter pupils being kept behind from learning","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Brighter pupils being kept behind from learning","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"It's how it has been so why change it","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"Their religious belief is different","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"I feel it is okay as it is","NA","NA","NA","NA",1
"46","They would all have the same chance and choices","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"To keep up their own religious identity","NA","NA","NA","NA",1,"If not sure of other religions","NA","NA","NA","NA",1,"All children should be treated fairly and equally reguardless of their religion","NA","NA","NA","NA",1,"Better integration","More understanding/better future","NA","NA","NA",2,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"To give children a chance to sample subjects and see how they cope with them","NA","NA","NA","NA",1,"Are all together so not too much transportation","No so much upheaval","NA","NA","NA",2,"They would have to bring in different teachers for the different age groups","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0
"47","More easy for parent to understand","No differences made of pupils","NA","NA","NA",2,"NA","NA","NA","NA","NA",NA,"Grammar schools wouldn't be happy (loss of status)","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"Be more understanding and tolerant of each others religion (learn about eachothers religion)","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",NA,"It may be the only avenue open for meeting someone of the opposite religion","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",NA,"Purely bigoted reasons","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",NA,"Less change in the pupils school environment","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA
"48","More choice for pupils","Better understanding of different cultures","NA","NA","NA",2,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"They know who their child out mixing with","They wouldn't have as much worry about fights","NA","NA","NA",2,"NA","NA","NA","NA","NA",NA,"Children would gain a better understanding of their religions","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"Fear that their children would be taught a different religion","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",NA,"Pupils are mixing with all age groups","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",NA,"Smaller children may be frightened by older or bigger children","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",NA
"49","Furute economic development","Growth abd development of all young people","Less presure for young peoiple to be all high achievers","NA","NA",3,"That some younger people would opt out for easier subjects","NA","NA","NA","NA",1,"Failing to reach full academic levels","By attending grammar schools may show the community high level of academic results","NA","NA","NA",2,"That some younger people would opt out for easier subjects","NA","NA","NA","NA",1,"To maintain and develop their religious background","Lack of knowledge","Integrated schools too far away","fear of losing religious identity","NA",4,"Some people are afraid of losing their faith","NA","NA","NA","NA",1,"To promote future development in religious differences","To promote humility desppite different backgrounds","To break the NI cycle","Integration is the future","NA",4,"It's the future for N. Ireland","NA","NA","NA","NA",1,"It's about education, not religious difference","NA","NA","NA","NA",1,"Because of the need to work together","NA","NA","NA","NA",1,"Lack of information provided to parents","NA","NA","NA","NA",1,"Fear & arrogance","NA","NA","NA","NA",1,"giving children wider choices for education reducing pressure of 11+ exam","NA","NA","NA","NA",1,"It's less change for parents & children","NA","NA","NA","NA",1,"To many school changes at young age","Cost","NA","NA","NA",2,"Because of the age gap/difference","NA","NA","NA","NA",1
"50","Every child has the right to choose","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",NA,"Children more capable should be taught seperately","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",NA,"They would be with children of their own community","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",NA,"They would grow up with all children and religion wouldn't be a problem","They would learn that everyone has a right to their own religion","NA","NA","NA",2,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA
"51","NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"People want to keep it the way it is","It has worked so far","NA","NA","NA",2,"NA","NA","NA","NA","NA",0,"Any balance is good","Equality","NA","NA","NA",2,"NA","NA","NA","NA","NA",0,"Share all facilities","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Because they would be bigoted","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"They would be older leaving junior school","Can't make mind up at 11","NA","NA","NA",2,"NA","NA","NA","NA","NA",0,"Some universities don't want this","Stuck in their ways. Conservative","NA","NA","NA",2
"52","NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"Just want to keep their own religion","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Help them to mix from a younger age","Help them to understand other peoples views","NA","NA","NA",2,"NA","NA","NA","NA","NA",0,"Get them to mix","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Just want to mix with their own religion","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Helps them to meet and mix with a different age group","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"If it is not broken, don't mend it","Happy the way it is","NA","NA","NA",2
"53","Equality for all children","Less segregation of communities","Funding (more available)","NA","NA",3,"NA","NA","NA","NA","NA",NA,"Big numbers of classrooms","Loss of right to remain separate identity","Less academic subjects being taught","Less control over discipline etc in bigger numbers of children","NA",4,"NA","NA","NA","NA","NA",NA,"Traditition","Religious reasons","Less examples of friction between pupils","Identity","NA",4,"NA","NA","NA","NA","NA",NA,"Deeper understanding and respect for eachother","Funding (more available)","Wanting to move forward and look to the future","NA","NA",3,"NA","NA","NA","NA","NA",NA,"To integrate the pupils","Hands on experience of how different children of different religions etc react","To encourage diversity","NA","NA",3,"NA","NA","NA","NA","NA",NA,"People who are afraid of change and who think that they will lose something of their own tradition perhaps","Wanting to retain old values and customs","Historical reasons","NA","NA",3,"NA","NA","NA","NA","NA",NA,"14 is a better age to allow a child to mature","The unfair 11+/selection procedure which may or may not go in future months","NA","NA","NA",2,"NA","NA","NA","NA","NA",NA,"Funding","Space","Availability of specific teachers trained to deal with this age group","NA","NA",3,"NA","NA","NA","NA","NA",NA
"54","All children can get same choices","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"Scared losing their identity","Do not want children to mix","NA","NA","NA",2,"NA","NA","NA","NA","NA",0,"Teaches children of different faiths and cultures to work together","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Can mix with children of different faiths & culture","Broaden their outlook","NA","NA","NA",2,"NA","NA","NA","NA","NA",0,"They feel insecure","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0
